match_stats_id,match_id,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced
2021-580-196-l,2021-580-196,24,1,153,98,69,33,24,5,9
2021-580-197-l,2021-580-197,2,7,146,72,49,36,20,7,12
2021-580-198-l,2021-580-198,2,3,151,109,68,18,20,9,16
2021-580-199-l,2021-580-199,4,3,80,41,25,19,12,7,12
2021-580-200-l,2021-580-200,25,2,149,108,88,17,24,7,10
2021-580-201-l,2021-580-201,1,0,30,24,9,2,3,4,8
2021-580-202-l,2021-580-202,4,5,98,56,34,21,16,6,11
2021-580-203-l,2021-580-203,0,1,64,48,27,8,13,1,6
2021-580-204-l,2021-580-204,11,7,78,44,32,17,14,5,9
2021-580-205-l,2021-580-205,3,6,129,76,48,28,19,7,12
2021-580-206-l,2021-580-206,9,4,109,75,51,10,14,4,9
2021-580-207-l,2021-580-207,2,3,142,92,59,24,21,11,18
2021-580-208-l,2021-580-208,0,4,76,58,31,5,12,5,12
2021-580-209-l,2021-580-209,12,3,122,77,56,24,18,4,6
2021-580-210-l,2021-580-210,4,3,84,43,27,22,14,3,8
2021-580-211-l,2021-580-211,9,4,104,74,51,7,16,7,12
2021-580-212-l,2021-580-212,26,3,123,75,57,23,19,8,11
2021-580-213-l,2021-580-213,1,2,114,80,49,18,15,10,14
2021-580-214-l,2021-580-214,2,2,103,75,41,9,13,8,15
2021-580-215-l,2021-580-215,11,3,125,72,53,27,22,9,14
2021-580-216-l,2021-580-216,5,2,59,41,25,8,10,6,10
2021-580-217-l,2021-580-217,1,2,70,42,28,12,13,1,7
2021-580-218-l,2021-580-218,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2021-580-219-l,2021-580-219,7,3,100,56,36,18,13,13,19
2021-580-220-l,2021-580-220,21,5,126,81,60,22,21,3,9
2021-580-221-l,2021-580-221,9,7,98,63,38,15,16,3,11
2021-580-222-l,2021-580-222,8,3,85,40,25,25,14,6,11
2021-580-223-l,2021-580-223,15,2,151,103,80,28,25,3,5
2021-580-224-l,2021-580-224,6,2,66,34,22,11,13,1,7
2021-580-225-l,2021-580-225,3,3,101,70,43,13,15,4,9
2021-580-226-l,2021-580-226,6,4,77,49,34,9,14,4,11
2022-580-100-l,2022-580-100,3,5,83,41,25,12,12,7,15
2022-580-101-l,2022-580-101,3,2,79,56,33,12,13,5,10
2022-580-102-l,2022-580-102,0,4,88,42,23,21,13,6,13
2022-580-103-l,2022-580-103,2,2,108,69,51,13,15,8,12
2022-580-104-l,2022-580-104,2,3,70,43,24,11,11,4,10
2022-580-105-l,2022-580-105,3,5,130,85,60,23,19,7,11
